Object_lemma,count
склад,965
який,199
рівень,157
він,150
місце,147
ми,146
допомога,137
стан,129
висновок,125
група,123
світ,119
вона,112
план,102
система,98
робота,97
ринок,97
життя,97
розгляд,94
те,93
розвиток,93
зміна,91
відомий,83
я,82
список,81
вони,81
порядок,81
процес,79
число,79
кипіння,78
історія,77
час,75
день,68
україна,68
вулиця,67
кінець,67
дія,67
експлуатація,64
влада,63
комплект,59
сайт,59
київ,58
вартість,58
реєстр,57
людина,57
земля,55
програма,54
вибір,53
перелік,53
хата,52
храм,51
місто,50
омана,49
сцена,48
рік,47
формування,46
книга,46
якість,45
фінал,44
голова,43
відповідність,43
ви,42
школа,42
село,40
питання,38
рада,38
мінімум,38
результат,37
сфера,37
десяток,37
структура,37
здоров’я,37
збірка,37
церква,36
поле,36
дім,35
зустріч,34
двір,33
завершення,33
рішення,33
кабінет,32
топ,31
зал,31
тяма,31
один,31
п’ятірка,31
магазин,31
приміщення,30
свято,30
гість,30
частина,29
будинок,29
період,29
ціна,29
кімната,29
категорія,28
коло,28
територія,27
обов’язок,27
компетенція,26
сторінка,26
діяльність,26
центр,26
думка,26
сесія,26
це,26
вічність,26
організм,26
смуга,25
край,25
трійка,25
поява,25
екран,24
дитина,24
клас,24
проблема,24
лікарня,24
засідання,24
зниження,24
країна,23
зона,23
вирішення,23
подвір’я,23
виконання,23
відповідальність,23
ефективність,23
норма,22
майдан,22
закон,22
жертва,22
свідомість,22
кут,22
зала,21
справа,21
обговорення,21
наслідок,21
суд,21
вікно,21
море,21
берег,21
політика,21
проект,20
дорога,20
момент,20
офіс,20
оселя,20
вода,20
функція,20
бібліотека,20
мода,19
минуле,19
фонд,19
себе,19
обіг,18
бюджет,18
швидкість,18
парламент,18
ефір,18
ситуація,18
здатність,18
позиція,18
рейтинг,17
збільшення,17
небо,17
замін,17
показник,17
район,17
захід,17
аудиторія,17
документ,17
поверхня,17
ліс,17
двері,17
розуміння,17
раціон,16
розмір,16
заклад,16
пункт,16
практика,16
створення,16
обсяг,16
середина,16
комплектація,15
прийом,15
об’єкт,15
львів,15
захват,15
польща,15
царство,15
площа,15
завдання,15
комплекс,15
книжка,15
столиця,15
пенсія,15
форма,15
що,14
акція,14
комітет,14
маса,14
відпочинок,14
гора,14
скарбниця,14
визначення,14
орган,14
вигляд,14
розділ,14
лад,14
зростання,13
концерт,13
виникнення,13
лінія,13
той,13
мережа,13
голосування,13
росія,13
німеччина,13
підвищення,13
вид,13
громада,13
читач,13
видання,13
витрата,13
простір,13
сотня,12
зв’язок,12
користь,12
база,12
серце,12
майданчик,12
родина,12
могила,12
відділення,12
поведінка,12
перево,12
бог,12
команда,12
розум,12
домівка,12
квартира,12
душа,12
бізнес,12
ти,12
початок,11
роль,11
банк,11
зменшення,11
ряд,11
глядач,11
фестиваль,11
посада,11
перебіг,11
збірник,11
ворота,11
відкриття,11
непридатність,11
кількість,11
сім’я,11
успіх,11
коаліція,10
економіка,10
недолік,10
заняття,10
консультація,10
сторона,10
побачення,10
маршрут,10
втрата,10
хід,10
утворення,10
інтер’єра,10
загал,10
воля,10
текст,10
оцінка,10
курс,10
рахунок,10
орбіта,10
гра,10
організація,10
стіл,10
навчання,10
річка,10
шкіра,10
кювет,9
війна,9
схід,9
бік,9
сума,9
культура,9
об’єднання,9
межа,9
старт,9
прийняття,9
перший,9
рух,9
повноважня,9
урок,9
активність,9
острів,9
тема,9
партія,9
округ,9
комісія,9
умова,9
образ,9
табір,9
колектив,9
огляд,9
арена,9
середовище,9
балкон,9
пам’ять,9
зміст,9
контакт,9
%,9
продаж,9
тип,9
хвилина,9
характер,9
подарунок,8
полювання,8
репертуар,8
галузь,8
базар,8
ріст,8
редакція,8
висота,8
тур,8
півфінал,8
прокат,8
сектор,8
готовність,8
інтер’єр,8
засіб,8
суспільство,8
майстерня,8
предмет,8
інший,8
собівартість,8
мітинг,8
кухня,8
вибори,8
протест,8
стандарт,8
черга,8
підтримка,8
література,8
відстань,8
дільниця,8
сила,8
налаштування,8
європа,8
настрій,8
баз,8
вершина,8
клієнт,7
година,7
необхідність,7
етап,7
стаття,7
перемога,7
раз,7
договір,7
ресторан,7
побут,7
положення,7
фракція,7
служба,7
досягнення,7
шлях,7
причина,7
стиль,7
майбутнє,7
концентрація,7
порушення,7
кодекс,7
область,7
знаменник,7
ступінь,7
динаміка,7
готель,7
мозок,7
смак,7
стадія,7
місяць,7
відділ,7
погіршення,7
пакет,7
таблиця,7
скринька,7
інтенсивність,7
ринг,7
законопроект,7
кордон,7
лінійка,7
матч,7
дерево,7
лідер,7
пошук,7
розрахунок,7
компанія,7
управління,7
конфлікт,7
відпустка,7
точка,7
відставка,7
цикл,7
ліга,7
кожний,7
театр,7
регіон,7
господ,7
обмін,7
набор,7
машина,7
поставка,7
характеристика,6
союз,6
препарат,6
коридор,6
виставка,6
палац,6
харків,6
крим,6
спосіб,6
захист,6
працездатність,6
світло,6
прогулянка,6
учень,6
вітальня,6
фініш,6
оформлення,6
товариство,6
самопочуття,6
клітина,6
когорт,6
атмосфера,6
сша,6
збірна,6
місцевість,6
єрдр,6
мета,6
використання,6
мінус,6
москва,6
експозиція,6
можливість,6
скорочення,6
меню,6
вирій,6
споживач,6
все,6
постанова,6
вухо,6
звичка,6
пряма,6
держава,6
форум,6
конституція,6
конференція,6
брат,6
лікар,6
